,国药控国大药房有限公司
0,大参林医药集团股份有限公司
1,云南鸿翔一心堂药业(集团)股份有限公司
2,老百姓大药房连锁份有限公司
3,益丰大药房连锁股份有限公司
4,重庆桐君阁大药房连锁有限责任公司
5,中国海王星辰连锁药店有限公司
6,成大方圆医药连锁投资有限公司
7,上海华氏大药房有限公司
8,甘肃众友健康医药股份有限公司
9,吉林大药房药业股份有限公司
10,漱玉平民大药房连锁股份有限公司
11,云南健之佳健康连锁店份有限公司
12,西安怕台康医药连锁有限责任公司
13,贵州一树连锁药业有限公司
14,重庆市万和药房连锁有限公司
15,河南张仲景大药房股份有限公司
16,哈尔滨宾人民同泰医药连锁
17,先声再康江苏药业有限公司
18,浙江瑞人堂医药连锁有限公司
19,山东燕喜堂医药连锁有限公司
20,石家庄新兴药房连锁股份有限公司
21,山东立健医药城连锁有限公司
22,大健康国际集团控股有限公司
23,南京医药国药有限公司
24,四川德仁堂药业连锁有限公司
25,重庆鑫斛药房连锁有限公司
26,辽宁天力士大药房连锁有限公司
27,怀化怀仁大药房连锁有限责任公司
28,湖南千金大药房连锁有限公司
29,深圳中联大药房控股有限公司
30,甘肃德生堂医药科技集团有限公司
31,杭州九洲大药房连锁有限公司
32,江西昌盛大药房有限公司
33,河北华佗药房医药连锁有限公司
34,宁波彩虹大药房有限公司
35,河北神威大药房连锁有限公司
36,天济大药房连锁有限责任公司
37,广州健民医药连锁有限公司
38,贵州正和祥芝林大药房零售连锁有限公司
39,安徽丰原大药房连锁有限公司
40,安徽国胜大药房连锁有限公司
41,恒泰人民(江苏)大药房连锁有限公司
42,贵州一品药业连锁有限公司
43,好药师大药房连锁有限公司
44,吉林省益和大药房有限公司
45,青岛医保城药品连锁有限公司
46,湖南九芝堂零售连锁有限公公司
47,新疆济康医药连锁有限责任公司
48,广东邦健医药连锁有限公司
49,广东爱心大药房连锁有限公司
50,福建宜又佳医药连锁有限公司
51,广东金康药房连锁有限公司
52,河南洛阳百家好一生大药房
53,北京德威治医药连锁有限责任公司
54,清远百姓大药房医药连锁有限公司
55,江苏大众医药连锁有限公司
56,北京康复之家医疗器械连锁经营有限公司(德开大药房）
57,山东幸福人医药连锁有限公司
58,常州中诚医药连锁有限公司
59,湖南楚济堂医药连锁有限公司
60,上海百秀大药房有限公司(可得网)
61,青岛同方药业连锁有限公司
62,山西和药店连锁有限公司
63,浙江震元医药连锁有限公司
64,江西天顺大药房连锁有限公司
65,CAMORE(康顾多)医药连锁
66,云南白药大药房有限公司
67,山东利民大药店连锁份有限公司
68,广西梧州百姓大药房连锁有限公司
69,新乡市佐今明大药房连锁有限责任公司
70,榆林市广济堂医药连锁有限公司
71,上海童涵春堂药业连锁经营有限公司
72,哈尔滨宾健康医药连锁有限公司
73,临沂市仁和堂医药(连锁)有限公司
74,广东建客医药有限公司
75,哈尔宾宝丰医药连锁有限公司
76,特格尔医药集团股份有限公司(零售连锁）
77,北京医保全新大药房有限责任公司
78,广东康爱多连锁药店有限公司
79,新疆普济堂医药零售连锁有限公司
80,湖南养天和大药房企业集团有限公司
81,广东壹号大药房连锁有限公司(1药网)
82,四川东升大药房连锁有限责任公司
83,柳州桂中大药房连锁有限责任公司
84,广州七乐康药业连锁有限公司
85,滁州华巨百姓缘大药房连锁股份有限公司
86,武汉马应龙大药房连锁份有限公司
87,康泽药业连锁有限公司
88,深圳市南北药行连锁有限公司
89,河北唐人医药股份有限公司
90,赤峰人川大药房连锁有限公司
91,四川杏林医药连锁有限责任公司
92,广西一心医药集团有限责任公司
93,沈阳东北大药房连锁有限公司
94,陕西众信医药超市有限公司
95,中山市中智大药房连锁有限公司
96,淮安广济医药连锁有限公司
97,广西康全药业连锁有限公司
98,温州一正药房连锁有限公司
